"SchemaName","Source","EpicConceptId","EpicConceptCode","EpicConceptName","EpicConceptValue","NumUses"
cdm,Procedures,0,"","","6-TEST",496571
cdm,Procedures,0,"","",ABS NEUTROPHIL COUNT,117842
cdm,Procedures,0,"","",ABS NEUTROPHIL COUNT ,117842
cdm,Procedures,0,"","",ADD TO PRIMARY INPATIENT SERVICE TEAM,585015
cdm,Procedures,0,"","",ADENINE-SALINE RED CELLS,352492
cdm,Procedures,0,"","",ADMINISTER FLU VACCINE,410115
cdm,Procedures,0,"","","ADMINISTER FLU VACCINE,QUADRIVALENT 6 MONTHS & OLDER(VACCINE FOR CHILDREN,IM,NO PRESERVATIVE",176700
cdm,Procedures,0,"","",ADMINISTER PNEUMOCOCCAL CONJ VACCINE 13 VALENT,159768
cdm,Procedures,0,"","","ADMINISTER TDAP VACCINE >7 YO, IM",145327
cdm,Procedures,0,"","",ADMIT TO INPATIENT,196357
cdm,Procedures,0,"","",ALBUMIN-BLD,477365
cdm,Procedures,0,"","",ALCOHOL (QUANT) SERUM,151335
cdm,Procedures,0,"","",ALK PHOSPHATASE-BLD,437747
cdm,Procedures,0,"","",ALPHA FETO PROTEIN,225083
cdm,Procedures,0,"","",ALT (SGPT),539226
cdm,Procedures,0,"","",AMYLASE-BLD,601266
cdm,Procedures,0,"","",ANESTHESIA INTUBATION,103799
cdm,Procedures,0,"","",ANTIMICROBIAL SUSC. ONLY,117723
cdm,Procedures,0,"","",APTT,902331
cdm,Procedures,0,"","",ARTERIAL PANEL (ICU),195024
cdm,Procedures,0,"","",AST (SGOT),552400
cdm,Procedures,0,"","",BASIC METABOLIC PANEL,4847280
cdm,Procedures,0,"","",BILIRUBIN DIRECT,753892
cdm,Procedures,0,"","",BILIRUBIN TOTAL,323752
cdm,Procedures,0,"","",BILIRUBIN-NEONATAL,119393
cdm,Procedures,0,"","","BLD SMEAR, MICROSCOPIC",868713
cdm,Procedures,0,"","","BLOOD GAS, ART",428121
cdm,Procedures,0,"","","BLOOD GAS, VEN",257745
cdm,Procedures,0,"","",BLOOD GAS/ELEC PROF-ART (POCT),1216640
cdm,Procedures,0,"","",BLOOD GAS/ELEC PROF-VEN (POCT),485980
cdm,Procedures,0,"","",BLOOD GAS/ELEC/OXIMETRY PROFILE- ARTERIAL,140711
cdm,Procedures,0,"","",BRAIN NATRIURETIC PEPTIDE,439124
cdm,Procedures,0,"","",C REACTIVE PROTEIN,447369
cdm,Procedures,0,"","",C REACTIVE PROTEIN HS,315969
cdm,Procedures,0,"","",CALCIUM-BLD,567679
cdm,Procedures,0,"","","CALCIUM-IONIZED-WB, ART",245470
cdm,Procedures,0,"","",CARCINOEMBRYONIC ANTIGEN(AKA CEA),141722
cdm,Procedures,0,"","",CARDIAC CATH (CVI),235507
cdm,Procedures,0,"","",CARDIAC PROFILE,159968
cdm,Procedures,0,"","",CBC+PLATELET,3028137
cdm,Procedures,0,"","",CBC+PLT+DIFF,10916992
cdm,Procedures,0,"","",CHEM 7,872547
cdm,Procedures,0,"","",CHEM 8+ (POCT),147468
cdm,Procedures,0,"","","CHLAMYDIA/GC DNA AMP, SWAB OR URINE",812965
cdm,Procedures,0,"","",CK (CPK),561252
cdm,Procedures,0,"","",CK-MB MASS,124478
cdm,Procedures,0,"","",COLONOSCOPY,183309
cdm,Procedures,0,"","",COMPREHENSIVE METABOLIC PANEL,6082747
cdm,Procedures,0,"","",CORD BLOOD EVALUATION,137078
cdm,Procedures,0,"","",CPK AND CPK-MB,165627
cdm,Procedures,0,"","",CREATININE-SERUM,538860
cdm,Procedures,0,"","",CREATININE-URINE RANDOM,142562
cdm,Procedures,0,"","",CT ABDOMEN & PELVIS W CONTRAST,246132
cdm,Procedures,0,"","",CT ABDOMEN & PELVIS WO CONTRAST,141746
cdm,Procedures,0,"","",CT CHEST WO CONTRAST,161745
cdm,Procedures,0,"","",CT HEAD WO CONTRAST,483814
cdm,Procedures,0,"","",CULTURE-BLOOD,1067904
cdm,Procedures,0,"","",CULTURE-THROAT,151441
cdm,Procedures,0,"","",CULTURE-URINE BACTERIAL,1143186
cdm,Procedures,0,"","","CYTOLOGY, GYN",343502
cdm,Procedures,0,"","",CYTOPATHOLOGY,373474
