"Epic_concept_code","num_ICD10_concept_codes"
"1003941",2
"1003950",2
"1003955",2
"1003976",2
"1003977",2
"1003979",4
"1003983",2
"1003987",2
"1003993",3
"1003996",2
"1003999",2
"1004003",2
"1004004",2
"1004008",2
"1004012",2
"1004015",2
"1004016",2
"1004019",2
"1004020",2
"1004021",2
"1004030",2
"1004035",2
"1004037",2
"1004041",2
"1004042",2
"1004047",2
"1004050",2
"1004065",2
"1004066",2
"1004072",2
"1004075",2
"1004077",2
"1004081",2
"1004085",2
"1004087",3
"1004089",2
"1004090",2
"1004091",2
"1004092",2
"1004099",2
"1004102",2
"1004103",2
"1004109",2
"1004116",2
"1004118",2
"1004119",2
"1004122",2
"1004124",2
"1004126",2
"1004131",2
"1004152",2
"1004154",2
"1004162",2
"1004164",2
"1004168",3
"1004171",2
"1004176",2
"1004179",3
"1004180",2
"1004184",3
"1004186",2
"1004190",2
"1004194",2
"1004198",2
"1004200",2
"1004212",2
"1004217",2
"1004220",3
"1004223",2
"1004225",3
"1004235",3
"1004239",2
"1004243",2
"1004245",2
"1004246",2
"1004253",2
"1004254",2
"1004260",2
"1004267",2
"1004269",2
"1004273",2
"1004276",2
"1004284",3
"1004285",2
"1004286",2
"1004287",2
"1004291",2
"1004294",2
"1004295",2
"1004297",2
"1004300",2
"1004307",2
"1004317",2
"1004319",2
"1004320",2
"1004324",2
"1004335",2
"1004338",2
"1004340",2
"1004342",2
"1004345",2
"1004350",2
"1004355",2
"1004361",2
"1004362",2
"1004364",2
"1004374",2
"1004381",2
"1004384",2
"1004388",2
"1004390",2
"1004391",2
"1004398",4
"1004403",2
"1004404",2
"1004411",2
"1004413",2
"1004414",2
"1004417",2
"1004418",2
"100442",2
"100443",2
"1004436",3
"100444",2
"1004440",2
"100445",2
"1004453",2
"1004463",2
"1004466",2
"1004468",2
"1004473",2
"1004474",2
"1004475",2
"1004478",2
"1004480",3
"1004483",2
"1004484",2
"1004494",2
"1004498",3
"1004504",2
"1004509",2
"1004516",2
"1004521",3
"1004522",4
"1004531",2
"1004534",2
"1004535",2
"1004539",2
"1004545",3
"1004552",2
"1004563",2
"1004569",2
"1004572",2
"1004576",2
"1004589",2
"1004592",2
"1004594",2
"1004599",2
"1004602",2
"1004608",2
"1004619",2
"1004622",2
"1004634",2
"1004639",2
"1004646",2
"1004648",2
"1004659",2
"1004660",2
"1004670",3
"1004676",2
"1004680",2
"1004686",2
"1004687",2
"1004692",2
"1004695",2
"1004704",2
"1004709",3
"1004710",2
"1004727",2
"1004728",3
"1004730",2
"1004732",2
"1004733",2
"1004736",2
"1004737",2
"1004739",2
"1004747",2
"1004753",2
"1004757",2
"1004763",2
"1004766",2
"1004779",2
"1004782",2
"1004784",2
"1004786",2
"1004792",2
"1004806",2
"1004808",2
"1004816",2
"1004821",2
"1004822",2
"1004834",2
"1004836",2
"1004839",2
"1004841",2
"1004845",2
"1004849",2
"1004855",2
"1004862",2
"1004863",2
"1004866",2
"1004868",2
"1004873",3
"1004878",2
"1004880",2
"1004893",2
"1004895",2
"1004898",2
"1004901",2
"1004917",2
"1004920",3
"1004935",2
"1004943",2
"1004947",2
"1004950",2
"1015789",2
"1015790",2
"1015800",2
"1015809",2
"1015816",2
"1015855",2
"1015862",2
"1015880",2
"1015883",2
"1015894",3
"1015907",2
"1015911",2
"1015915",3
"1015918",3
"1015928",2
"1015929",2
"1015938",2
"1015941",2
"1015966",2
"1015987",2
"1015992",2
"1016011",2
"1016041",2
"1016068",2
"1016077",3
"1016086",2
"1016104",2
"1016108",2
"1016125",2
"1016137",2
"1016147",2
"1016156",2
"1016164",2
"1016165",2
"1016167",2
"1016174",2
"1016178",2
"1016179",2
"1016184",2
"1016215",3
"1016237",2
"1016260",2
"1016273",2
"1016274",2
"1016308",2
"1016337",2
"1016340",2
"1016353",2
"1016377",2
"1016386",2
"1016398",2
"1016411",3
"1016420",2
"1016427",3
"1016428",2
"1016432",2
"1016435",2
"1016440",2
"1016497",2
"1016502",4
"1016513",2
"1016525",2
"1016534",2
"1016538",2
"1016540",2
"1016548",3
"1016555",2
"1016569",2
"1016587",2
"1016599",3
"1016615",2
"1016624",2
"1016629",4
"1016656",2
"1016663",2
"1016664",2
"1016700",2
"1016710",3
"1016718",2
"1016732",2
"1016734",2
"1016735",2
"1016738",2
"1016768",2
"1016771",2
"1016774",2
"1016783",2
"1016796",2
"1016812",4
"1016814",2
"1016820",2
"1016831",2
"1016835",2
"1016843",2
"1016853",2
"1016865",2
"1016868",2
"1016871",4
"1016881",2
"1016899",2
"1016914",3
"1016937",2
"1016974",2
"1016978",2
"1016986",2
"1016991",2
"1016998",2
"1017007",2
"1017009",2
"1017011",2
"1017012",2
"1017026",2
"1017027",2
"1017041",2
"1017049",2
"1017052",2
"1017061",2
"1017070",2
"1017084",2
"1017117",2
"1017126",2
"1017138",2
"1017139",2
"1017162",2
"1017179",2
"1017182",2
"1017198",2
"1017208",2
"1017221",2
"1017223",2
"1017234",2
"1017237",2
"1017238",2
"1017244",2
"1017246",2
"1017249",2
"1017256",2
"1017259",2
"1017264",2
"1017266",3
"1017271",2
"1017278",2
"1017285",2
"1017286",4
"1017290",2
"1017294",2
"1017296",2
"1017297",2
"1017298",2
"1017305",2
"1017311",2
"1017317",2
"1017320",2
"1017324",3
"1017331",2
"1017333",2
"1017345",2
"1017346",2
"1017351",2
"1017352",2
"1017356",2
"1017360",2
"1017361",2
"1017364",2
"1017368",2
"1017377",2
"1017378",2
"1017382",2
"1017402",2
"1017422",2
"1017424",2
"1017438",3
"1017442",2
"1017444",2
"1017451",2
"1017458",2
"1017468",2
"1017469",3
"1017478",2
"1017493",2
"1017501",3
"1017504",2
"1017513",2
"1017516",2
"1017532",2
"1017533",2
"1017535",2
"1017537",2
"1017538",2
"1017550",2
"1017553",2
"1017558",2
"1017562",2
"1017564",2
"1017566",2
"1017568",4
"1017571",2
"1017573",2
"1017580",2
"1017586",2
"1017589",2
"1017590",2
"1017592",2
"1017596",2
"1017600",2
"1017602",2
"1017617",2
"1017653",2
"1017662",2
"1017669",2
"1017672",2
"1017681",6
"1017683",2
"1017685",2
"1017690",2
"1017691",4
"1017692",2
"1017701",2
"1017704",3
"1017710",2
"1017712",2
"1017714",2
"1017716",2
"1017721",2
"1007873",2
"1007875",2
"1007877",2
"1007879",2
"1007886",2
"1007890",2
"1007896",2
"1007923",2
"1007924",2
"1007932",3
"1007939",2
"1007946",3
"1007948",2
"1007950",2
"1007951",2
"1007953",2
"1007969",2
"1007982",2
"1007985",2
"1007986",2
"1008006",2
"1008010",2
"1008013",2
"1008022",2
"1008032",2
"1008033",2
"1008057",3
"1008058",2
"1008062",2
"1008069",2
"1008072",2
"1008082",2
"1008090",2
"1008091",2
"1008095",2
"1008103",2
"1008105",2
"1008110",2
"1008115",2
"1008117",2
"1008119",2
"1008124",2
"1008128",2
"1008130",2
"1008135",2
"1008142",2
"1008145",2
"1008148",2
"1008152",2
"1008168",3
"1008175",2
"1008176",2
"1008183",2
"1008185",2
"1008196",2
"1008202",2
"1008204",2
"1008210",2
"1008225",2
"1008226",2
"1008231",2
"1008232",2
"1008233",2
"1008241",2
"1008244",2
"1008259",2
"1008277",2
"1008290",2
"1008293",3
"1008294",2
"1008303",2
"1008306",2
"1008309",2
"1008314",2
"1008315",2
"1008325",2
"1008328",2
"1008338",2
"1008342",2
"1008345",2
"1008364",2
"1008365",2
"1008374",2
"1008376",2
"1008380",3
"1008383",2
"1008388",2
"1008389",2
"1008391",2
"1008404",2
"1008410",2
"1008424",2
"1008432",2
"1008434",4
"1008435",2
"1008437",2
"1008446",4
"1008447",2
"1008459",2
"1008465",3
"1008471",2
"1008477",2
"1008493",2
"1008495",3
"1008499",2
"1008504",2
"1008516",2
"1008528",2
"1008538",2
"1008553",2
"1008555",2
"1008556",2
"1008557",2
"1008558",2
"1008559",2
"1008566",3
"1008570",2
"1008571",2
"1008579",2
"1008583",4
"1008589",3
"1008593",2
"1008596",2
"1008601",2
"1008605",2
"1008608",2
"1008612",2
"1008613",3
"1008615",2
"1008619",2
"1008627",2
"1008629",2
"1008651",2
"1008655",2
"1008660",2
"1008664",2
"1008668",2
"1008680",2
"1008689",2
"1008690",2
"1008693",2
"1008698",2
"1008722",3
"1008731",2
"1008732",2
"1008739",2
"1008753",2
"1008769",2
"1008770",2
"1008772",2
"1008782",2
"1008791",2
"1008793",2
"1008801",2
"1008802",2
"1008806",2
"1008807",2
"1008810",2
"1008813",2
"1008818",2
"1008820",2
"1008821",2
"1008827",2
"1008830",2
"1008839",2
"1008841",2
"1008843",2
"1008844",2
"1008849",2
"1008854",2
"1008855",2
"1008866",2
"1008869",2
"1008871",2
"1008878",2
"1008886",2
"1008898",2
"1008904",2
"1008907",2
"1008911",2
"1008914",2
"1008919",2
"1008925",2
"1008932",2
"1008939",2
"100894",2
"1008942",2
"100895",2
"1008956",4
"1008959",2
"1008964",2
"1008966",2
"1008983",2
"1008991",2
"1008993",2
"1009008",2
"1009009",2
"1009017",3
"1009019",2
"1009020",2
"1009031",4
"1009039",2
"1009041",2
"1009048",2
"1009049",2
"1009068",2
"1009080",2
"1009087",2
"1009094",2
"1009095",2
"1009096",3
"1009098",2
"1009110",3
"1009112",2
"1009125",2
"1009132",2
"1009134",2
"1009140",2
"1009153",2
"1009155",2
"1009157",4
"1009159",2
"1009164",2
"1009185",2
"1009192",2
"1004952",2
"1004954",2
"1004957",2
"1004958",2
"1004962",2
"1004971",2
"1004972",2
"1004982",2
"1004989",2
"1004994",4
"10050",3
"1005000",2
"1005014",2
"1005019",2
"1005020",2
"1005023",2
"1005035",2
"1005044",2
"1005053",2
"1005060",2
"1005069",2
"1005079",2
"1005082",2
"1005100",2
"1005104",2
"1005111",2
"1005120",2
"1005125",2
"1005127",2
"1005134",2
"1005138",2
"1005152",2
"1005153",4
"1005154",2
"1005161",2
"1005162",2
"1005164",2
"1005168",2
"1005169",2
"1005174",2
"1005181",2
"1005187",2
"1005188",2
"1005191",3
"1005196",3
"1005197",2
"1005207",2
"1005209",2
"1005213",2
"1005217",2
"1005219",2
"1005222",2
"1005230",2
"1005248",2
"1005251",2
"1005268",2
"1005271",2
"1005293",2
"1005297",2
"1005299",2
"1005306",2
"1005307",2
"1005308",2
"1005319",2
"1005327",2
"1005328",2
"1005335",2
"1005337",2
"1005341",2
"1005357",2
"1005363",2
"1005370",2
"1005374",2
"1005375",2
"1005389",2
"1005394",2
"1005398",2
"1005402",2
"1005411",2
"1005415",2
"1005416",2
"1005417",2
"1005426",2
"1005436",3
"1005438",2
"1005441",3
"1005442",2
"1005449",3
"1005455",3
"1005456",3
"1005457",2
"1005460",2
"1005469",2
"1005471",2
"1005485",3
"1005489",2
"1005505",2
"1005528",3
"1005539",2
"1005542",2
"1005555",2
"1005579",2
"1005584",2
"1005585",2
"1005591",3
"1005594",2
"1005599",2
"1005604",4
"1005613",2
"1005614",2
"1005616",2
"1005630",2
"1005633",2
"1005634",2
"1005640",2
"1005647",2
"1005655",2
"1005656",2
"1005679",2
"1005682",2
"1005684",2
"1005693",2
"1005694",2
"1005696",2
"1005697",2
"1005703",2
"1005705",2
"1005710",2
"1005711",2
"1005712",3
"1005713",2
"1005716",2
"1005720",2
"1005722",2
"1005723",2
"1005727",2
"1005733",2
"1005736",2
"1005741",2
"1005743",2
"1005747",2
"1005750",2
"1005752",2
"1005761",2
"1005765",4
"1005783",2
"1005789",2
"1005793",2
"1005794",2
"1005796",2
"1005809",2
"1005811",2
"1005832",2
"1005844",2
"1005846",2
"1005850",2
"1005856",3
"1005861",2
"1005865",2
"1005870",2
"1005885",2
"1005894",3
"1005900",3
"1019653",2
"1019661",2
"1019662",2
"1019671",2
"1019673",2
"1019674",2
"1019676",2
"1019678",2
"1019691",2
"1019692",2
"1019699",2
"10197",2
"1019707",3
"1019723",2
"1019724",2
"1019736",2
"1019760",2
"1019761",2
"1019763",2
"1019769",2
"1019792",2
"1019800",5
"1019815",2
"1019821",2
"1019838",2
"1019852",2
"1019854",2
"1019858",2
"1019859",2
"1019871",2
"1019878",2
"1019879",2
"1019880",2
"1019886",2
"1019887",2
"1019891",2
"1019893",2
"1019900",2
"1019911",2
"1019913",2
"1019926",2
"1019935",2
"1019942",2
"1019943",2
"1019945",2
"1019952",2
"1019955",2
"1019957",2
"1019959",2
"1019960",4
"1019963",2
"1019978",2
"1019984",3
"1019986",2
"1019992",2
"1020002",2
"1020004",2
"1020006",2
"1020007",2
"1020020",2
"1020023",2
"1020024",2
"1194136",2
"1194149",2
"1194155",4
"1194165",2
"1194166",3
"1194170",2
"1194178",2
"1194180",2
"1194183",2
"1194188",2
"1194197",2
"1194200",2
"1194201",2
"1194204",2
"1194208",2
"1194212",2
"1194223",2
"1194224",2
"1194225",2
"1194230",2
"1194268",2
"1194275",2
"1194279",2
"1194283",2
"1194286",3
"1194293",2
"1194295",2
"1194311",2
"1194343",2
"1194345",2
"1194374",2
"1194380",3
"1194384",3
"1194398",2
"1194408",2
"1194409",2
"1194424",2
"1194425",3
"1194430",2
"1194432",2
"1194433",2
"1194434",3
"1194436",2
"1194437",2
"1194443",2
"1194446",3
"1194457",2
"1194467",2
"1194477",2
"1194480",2
"1194483",2
"1194520",2
"1194531",2
"1194545",2
"1194570",2
"1194580",2
"1194583",2
"1194598",2
"1194603",2
"1194613",2
"1194628",2
"1194640",2
"1194645",2
"1194647",2
"1194648",3
"1194652",2
"1194664",3
"1194667",2
"1194683",2
"1194684",2
"1194685",2
"1194688",2
"1194689",2
"1194702",2
"1194708",2
"1194714",2
"1194715",2
"1194716",2
"1194721",2
"1194724",2
"1194726",2
"1194733",2
"1194785",2
"1194789",2
"1194791",2
"1194816",2
"1194817",2
"1194830",2
"1194842",2
"1194846",2
"1194848",2
"1194851",2
"1194856",2
"1194872",2
"1194876",2
"1194877",2
"1194887",2
"1194890",2
"1194903",3
"1194904",2
"1194909",3
"1194921",2
"1194931",2
"1194933",2
"1194940",2
"1194944",2
"1194956",2
"119496",2
"1194972",2
"1194996",2
"1195022",2
"1195026",2
"1195029",2
"1195040",3
"1195043",2
"1195044",2
"1195047",2
"1195052",2
"1195053",2
"1195057",2
"1195061",2
"1195109",2
"1195127",2
"1195129",2
"1195140",2
"1195145",2
"1195156",2
"1195159",2
"1195162",2
"1195166",2
"1195176",2
"1195177",2
"1195180",2
"1195184",2
"1195188",2
"1195190",2
"1195193",2
"1195196",2
"1195199",2
"1195201",2
"1195203",2
"1195214",2
"1195217",2
"1195225",2
"1195248",2
"1195249",2
"1195257",2
"1195327",2
"1195330",2
"1195331",2
"1195335",2
"1195366",2
"1195370",2
"1195371",2
"1195372",3
"1195380",3
"1195383",2
"1195386",2
"1195393",2
"1195398",3
"1195402",2
"1195410",2
"1195417",2
"1195418",2
"1195428",2
"1195435",2
"1195438",2
"1195441",2
"1195442",2
"1195454",2
"1195456",2
"1195457",3
"1195463",2
"1195466",2
"1195469",2
"1195474",2
"1195489",2
"1195509",2
"1195518",2
"1195523",4
"1195536",2
"1195552",2
"1195607",2
"1195608",2
"1195609",2
"1195612",2
"1195615",2
"1195627",2
"1195628",2
"1195629",2
"1195631",2
"1195634",3
"1195638",2
"1195649",2
"1195653",2
"1195658",2
"1195663",2
"1195664",2
"1195675",2
"1195682",2
"1195688",2
"1195697",2
"1195711",2
"1195727",2
"1195747",2
"1195764",3
"1195771",2
"1195793",2
"1195796",2
"1195804",2
"1195812",2
"1195820",2
"1195844",2
"1195852",2
"1195853",2
"1195858",2
"1195860",2
"1195866",2
"1195871",2
"1195879",2
"1195891",2
"1195899",2
"1195903",2
"1195908",2
"1017725",5
