"EPIC_CONCEPT_CODE","EPIC_CONCEPT_NAME","ICD10_CONCEPT_CODE","ICD10_CONCEPT_NAME","SNOMED_CONCEPT_CODE","SNOMED_CONCEPT_NAME","HAND_MAP_STATUS","SOURCES","COMMENT"
"1107925",Diverticulosis of large intestine without hemorrhage,,,"735730006",Diverticulum of large intestine without hemorrhage,MISSING,MANUAL MAPPINGS,
"1112014",Anxiety about health,,,"247808006",Anxiety about body function or health,MISSING,MANUAL MAPPINGS,
"1114303",Liveborn infant by vaginal delivery,,,"289259007",Vaginal delivery,MISSING,MANUAL MAPPINGS,
"1117030",Coronary artery disease due to calcified coronary lesion,,,"92517006",Calcific coronary arteriosclerosis,MISSING,MANUAL MAPPINGS,
"1117791",Midline low back pain without sciatica,,,"16839401000119104",Low back pain co-occurrent with neuralgia of left sciatic nerve,MISSING,MANUAL MAPPINGS,
"1117792",Bilateral low back pain without sciatica,,,"16839401000119104",Low back pain co-occurrent with neuralgia of left sciatic nerve,MISSING,MANUAL MAPPINGS,
"1296713","Syncope, unspecified syncope type",,,"271594007",Syncope,MISSING,MANUAL MAPPINGS,
"1296901","Acute nonintractable headache, unspecified headache type",,,"735938006",Acute headache,MISSING,MANUAL MAPPINGS,
"1300918",Low vitamin D level,,,"131114008",Decreased vitamin D,MISSING,MANUAL MAPPINGS,
"198511",Unsteady gait,,,"22631008",Unsteady when walking,MISSING,MANUAL MAPPINGS,
"203732",Weight loss,,,"89362005",Weight loss,MISSING,MANUAL MAPPINGS,
"203750",Growth failure,,,"444896005",Growth retardation,MISSING,MANUAL MAPPINGS,
"203944",Renal mass,,,"309088003",Renal mass,MISSING,MANUAL MAPPINGS,
"204237",Smoking,,,"77176002",Smoker,MISSING,MANUAL MAPPINGS,
"204580",Recurrent UTI,,,"197927001",Recurrent urinary tract infection,MISSING,MANUAL MAPPINGS,
"206088",LVH (left ventricular hypertrophy),,,"55827005",Left ventricular hypertrophy,MISSING,MANUAL MAPPINGS,
"206440",Pacemaker,,,"441509002",Cardiac pacemaker in situ,MISSING,MANUAL MAPPINGS,
"206547",Personal history of breast cancer,,,"415076002",Personal history of primary malignant neoplasm of breast,MISSING,MANUAL MAPPINGS,
"206803",Chronic constipation,,,"236069009",Chronic constipation,MISSING,MANUAL MAPPINGS,
"206977",Abnormal mammogram,,,"168750009",Mammography abnormal,MISSING,MANUAL MAPPINGS,
"207275",Gait instability,,,"22631008",Unsteady when walking,MISSING,MANUAL MAPPINGS,
"207988",Abnormal Pap smear,,,"309081009",Abnormal cervical smear,MISSING,MANUAL MAPPINGS,
"209412",Abnormal glucose,,,"102660008",Abnormal glucose level,MISSING,MANUAL MAPPINGS,
"209415",Pre-diabetes,,,"858301000000107",Pre-diabetes,MISSING,MANUAL MAPPINGS,
"209758",Lung nodule,,,"786838002",Nodule of lung,MISSING,MANUAL MAPPINGS,
"1255919","Fever, unspecified fever cause",,,"7520000",Pyrexia of unknown origin,MISSING,MANUAL MAPPINGS,
"1321293","Type 2 diabetes mellitus with diabetic nephropathy, with long-term current use of insulin",,,"422014003",Disorder due to type 2 diabetes mellitus,MISSING,MANUAL MAPPINGS,
"1321894","Type 2 diabetes mellitus with complication, with long-term current use of insulin",,,"237599002",Insulin treated type 2 diabetes mellitus,MISSING,MANUAL MAPPINGS,
"1322500",Chronic pain of both knees,,,"11874791000119104",Bilateral knee pain,MISSING,MANUAL MAPPINGS,
"1323159",Coronary artery disease of native artery of native heart with stable angina pectoris,,,"16754391000119100",Stable angina due to coronary arteriosclerosis,MISSING,MANUAL MAPPINGS,
"1323182",Moderate episode of recurrent major depressive disorder,,,"191611001","Recurrent major depressive episodes, moderate",MISSING,MANUAL MAPPINGS,
"1323709",Osteopenia of multiple sites,,,"312894000",Osteopenia,MISSING,MANUAL MAPPINGS,
"1431601",Acute bilateral low back pain without sciatica,,,"278862001",Acute low back pain,MISSING,MANUAL MAPPINGS,
"1431637",Chronic bilateral low back pain without sciatica,,,"278860009",Chronic low back pain,MISSING,MANUAL MAPPINGS,
"1431652",Chronic midline low back pain without sciatica,,,"16839401000119104",Low back pain co-occurrent with neuralgia of left sciatic nerve,MISSING,MANUAL MAPPINGS,
