"Epic Id","CPT4 Code","Epic name","CPT4 name"
"1074713600","47136",PARTIAL HETEROTOPIC LIVER ALLOTRANSPLANTATION FROM LIVING DONOR,"Liver allotransplantation; heterotopic, partial or whole, from cadaver or living donor, any age"
"1076943600","69436",TYMPANOSTOMY WITH INSERTION OF VENTILATING TUBE UNDER GENERAL ANESTHESIA,"Tympanostomy (requiring insertion of ventilating tube), general anesthesia"
"1076944000","69440",MIDDLE EAR EXPLORATION THROUGH POSTAURICULAR INCISION,Middle ear exploration through postauricular or ear canal incision
"1076945000","69450",TYMPANOLYSIS BY TRANSCANAL APPROACH,"Tympanolysis, transcanal"
"1076950100","69501",ANTROTOMY BY TRANSMASTOID APPROACH,Transmastoid antrotomy (simple mastoidectomy)
"1076950200","69502",COMPLETE MASTOIDECTOMY,Mastoidectomy; complete
"1076950500","69505",MODIFIED RADICAL MASTOIDECTOMY,Mastoidectomy; modified radical
"1076951100","69511",RADICAL MASTOIDECTOMY,Mastoidectomy; radical
"1076953000","69530",PETROUS APICECTOMY WITH RADICAL MASTOIDECTOMY,Petrous apicectomy including radical mastoidectomy
"1076953500","69535",RESECTION OF TEMPORAL BONE BY EXTERNAL APPROACH,"Resection temporal bone, external approach"
"1076954000","69540",EXCISION OF AURAL POLYP,Excision aural polyp
"1076955000","69550",EXCISION OF AURAL GLOMUS TUMOR BY TRANSCANAL APPROACH,Excision aural glomus tumor; transcanal
"1076955200","69552",EXCISION OF AURAL GLOMUS TUMOR BY TRANSMASTOID APPROACH,Excision aural glomus tumor; transmastoid
"1076955400","69554",EXCISION OF AURAL GLOMUS TUMOR,Excision aural glomus tumor; extended (extratemporal)
"1076960100","69601",REVISION OF MASTOIDECTOMY TO COMPLETE MASTOIDECTOMY,Revision mastoidectomy; resulting in complete mastoidectomy
"1076960200","69602",REVISION OF MASTOIDECTOMY TO MODIFIED RADICAL MASTOIDECTOMY,Revision mastoidectomy; resulting in modified radical mastoidectomy
"1076960300","69603",REVISION OF MASTOIDECTOMY TO RADICAL MASTOIDECTOMY,Revision mastoidectomy; resulting in radical mastoidectomy
"1076960400","69604",REVISION OF MASTOIDECTOMY WITH TYMPANOPLASTY,Revision mastoidectomy; resulting in tympanoplasty
"1076960500","69605",REVISION OF MASTOIDECTOMY WITH APICECTOMY,Revision mastoidectomy; with apicectomy
"1076961000","69610",REPAIR OF TYMPANIC MEMBRANE WITH PREPARATION OF PERFORATION SITE FOR CLOSURE,"Tympanic membrane repair, with or without site preparation of perforation for closure, with or without patch"
"1076962000","69620",MYRINGOPLASTY,Myringoplasty (surgery confined to drumhead and donor area)
"1076963100","69631",TYMPANOPLASTY WITH MIDDLE EAR SURGERY,"Tympanoplasty without mastoidectomy (including canalplasty, atticotomy and/or middle ear surgery), initial or revision; without ossicular chain reconstruction"
"1076963200","69632",TYMPANOPLASTY WITH OSSICULAR CHAIN RECONSTRUCTION,"Tympanoplasty without mastoidectomy (including canalplasty, atticotomy and/or middle ear surgery), initial or revision; with ossicular chain reconstruction (eg, postfenestration)"
"1076963300","69633",TYMPANOPLASTY WITH OSSICULAR CHAIN RECONSTRUCTION USING PROSTHESIS,"Tympanoplasty without mastoidectomy (including canalplasty, atticotomy and/or middle ear surgery), initial or revision; with ossicular chain reconstruction and synthetic prosthesis (eg, partial ossicular replacement prosthesis [PORP], total ossicular repl"
"1076963500","69635",TYMPANOPLASTY WITH MASTOIDOTOMY,"Tympanoplasty with antrotomy or mastoidotomy (including canalplasty, atticotomy, middle ear surgery, and/or tympanic membrane repair); without ossicular chain reconstruction"
"1076963600","69636",TYMPANOPLASTY WITH MASTOIDOTOMY AND OSSICULAR CHAIN RECONSTRUCTION,"Tympanoplasty with antrotomy or mastoidotomy (including canalplasty, atticotomy, middle ear surgery, and/or tympanic membrane repair); with ossicular chain reconstruction"
"1076963700","69637",TYMPANOPLASTY WITH MASTOIDOTOMY AND OSSICULAR CHAIN RECONSTRUCTION,"Tympanoplasty with antrotomy or mastoidotomy (including canalplasty, atticotomy, middle ear surgery, and/or tympanic membrane repair); with ossicular chain reconstruction and synthetic prosthesis (eg, partial ossicular replacement prosthesis [PORP], total"
"1076964100","69641",TYMPANOPLASTY WITH MASTOIDOTOMY,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); without ossicular chain reconstruction"
"1076964200","69642",TYMPANOPLASTY WITH MASTOIDOTOMY AND OSSICULAR CHAIN RECONSTRUCTION,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); with ossicular chain reconstruction"
"1076964300","69643",TYMPANOPLASTY WITH MASTOIDOTOMY AND RECONSTRUCTION OF POSTERIOR CANAL WALL,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); with intact or reconstructed wall, without ossicular chain reconstruction"
"1076964400","69644","TYMPANOPLASTY WITH MASTOIDOTOMY, RECONSTRUCTION OF POSTERIOR CANAL WALL, AND OSSICULAR CHAIN RECONSTRUCTION","Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); with intact or reconstructed canal wall, with ossicular chain reconstruction"
"1076964500","69645",RADICAL TYMPANOPLASTY WITH MASTOIDOTOMY,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); radical or complete, without ossicular chain reconstruction"
