Epic Id,CPT4 Code,Epic name,CPT4 name,Comp. score,Max score,Ratio,Matching words,Unmatched words
1074713600,47136,PARTIAL HETEROTOPIC LIVER ALLOTRANSPLANTATION FROM LIVING DONOR,"Liver allotransplantation; heterotopic, partial or whole, from cadaver or living donor, any age",0.6363636363636364,0.6363636363636364,1.0,"allotransplantation, donor, from, heterotopic, liver, living, partial","age, any, cadaver, whole"
1076943600,69436,TYMPANOSTOMY WITH INSERTION OF VENTILATING TUBE UNDER GENERAL ANESTHESIA,"Tympanostomy (requiring insertion of ventilating tube), general anesthesia",0.75,0.875,0.8571428571428571,"anesthesia, general, insertion, tube, tympanostomy, ventilating","requiring, under"
1076944000,69440,MIDDLE EAR EXPLORATION THROUGH POSTAURICULAR INCISION,Middle ear exploration through postauricular or ear canal incision,0.8571428571428571,0.8571428571428571,1.0,"ear, exploration, incision, middle, postauricular, through",canal
1076945000,69450,TYMPANOLYSIS BY TRANSCANAL APPROACH,"Tympanolysis, transcanal",0.6666666666666666,0.6666666666666666,1.0,"transcanal, tympanolysis",approach
1076950100,69501,ANTROTOMY BY TRANSMASTOID APPROACH,Transmastoid antrotomy (simple mastoidectomy),0.4,0.6,0.6666666666666667,"antrotomy, transmastoid","approach, mastoidectomy, simple"
1076950200,69502,COMPLETE MASTOIDECTOMY,Mastoidectomy; complete,1.0,1.0,1.0,"complete, mastoidectomy",
1076950500,69505,MODIFIED RADICAL MASTOIDECTOMY,Mastoidectomy; modified radical,1.0,1.0,1.0,"mastoidectomy, modified, radical",
1076951100,69511,RADICAL MASTOIDECTOMY,Mastoidectomy; radical,1.0,1.0,1.0,"mastoidectomy, radical",
1076953000,69530,PETROUS APICECTOMY WITH RADICAL MASTOIDECTOMY,Petrous apicectomy including radical mastoidectomy,0.8,0.8,1.0,"apicectomy, mastoidectomy, petrous, radical",including
1076953500,69535,RESECTION OF TEMPORAL BONE BY EXTERNAL APPROACH,"Resection temporal bone, external approach",1.0,1.0,1.0,"approach, bone, external, resection, temporal",
1076954000,69540,EXCISION OF AURAL POLYP,Excision aural polyp,1.0,1.0,1.0,"aural, excision, polyp",
1076955000,69550,EXCISION OF AURAL GLOMUS TUMOR BY TRANSCANAL APPROACH,Excision aural glomus tumor; transcanal,0.8333333333333334,0.8333333333333334,1.0,"aural, excision, glomus, transcanal, tumor",approach
1076955200,69552,EXCISION OF AURAL GLOMUS TUMOR BY TRANSMASTOID APPROACH,Excision aural glomus tumor; transmastoid,0.8333333333333334,0.8333333333333334,1.0,"aural, excision, glomus, transmastoid, tumor",approach
1076955400,69554,EXCISION OF AURAL GLOMUS TUMOR,Excision aural glomus tumor; extended (extratemporal),0.6666666666666666,0.6666666666666666,1.0,"aural, excision, glomus, tumor","extended, extratemporal"
1076960100,69601,REVISION OF MASTOIDECTOMY TO COMPLETE MASTOIDECTOMY,Revision mastoidectomy; resulting in complete mastoidectomy,0.75,0.75,1.0,"complete, mastoidectomy, revision",resulting
1076960200,69602,REVISION OF MASTOIDECTOMY TO MODIFIED RADICAL MASTOIDECTOMY,Revision mastoidectomy; resulting in modified radical mastoidectomy,0.8,0.8,1.0,"mastoidectomy, modified, radical, revision",resulting
1076960300,69603,REVISION OF MASTOIDECTOMY TO RADICAL MASTOIDECTOMY,Revision mastoidectomy; resulting in radical mastoidectomy,0.75,0.75,1.0,"mastoidectomy, radical, revision",resulting
1076960400,69604,REVISION OF MASTOIDECTOMY WITH TYMPANOPLASTY,Revision mastoidectomy; resulting in tympanoplasty,0.75,0.75,1.0,"mastoidectomy, revision, tympanoplasty",resulting
1076960500,69605,REVISION OF MASTOIDECTOMY WITH APICECTOMY,Revision mastoidectomy; with apicectomy,1.0,1.0,1.0,"apicectomy, mastoidectomy, revision",
1076961000,69610,REPAIR OF TYMPANIC MEMBRANE WITH PREPARATION OF PERFORATION SITE FOR CLOSURE,"Tympanic membrane repair, with or without site preparation of perforation for closure, with or without patch",0.7777777777777778,0.7777777777777778,1.0,"closure, membrane, perforation, preparation, repair, site, tympanic","patch, without"
1076962000,69620,MYRINGOPLASTY,Myringoplasty (surgery confined to drumhead and donor area),0.16666666666666666,0.16666666666666666,1.0,myringoplasty,"area, confined, donor, drumhead, surgery"
1076963100,69631,TYMPANOPLASTY WITH MIDDLE EAR SURGERY,"Tympanoplasty without mastoidectomy (including canalplasty, atticotomy and/or middle ear surgery), initial or revision; without ossicular chain reconstruction",0.2857142857142857,0.2857142857142857,1.0,"ear, middle, surgery, tympanoplasty","atticotomy, canalplasty, chain, including, initial, mastoidectomy, ossicular, reconstruction, revision, without"
1076963200,69632,TYMPANOPLASTY WITH OSSICULAR CHAIN RECONSTRUCTION,"Tympanoplasty without mastoidectomy (including canalplasty, atticotomy and/or middle ear surgery), initial or revision; with ossicular chain reconstruction (eg, postfenestration)",0.26666666666666666,0.26666666666666666,1.0,"chain, ossicular, reconstruction, tympanoplasty","atticotomy, canalplasty, ear, including, initial, mastoidectomy, middle, postfenestration, revision, surgery, without"
1076963300,69633,TYMPANOPLASTY WITH OSSICULAR CHAIN RECONSTRUCTION USING PROSTHESIS,"Tympanoplasty without mastoidectomy (including canalplasty, atticotomy and/or middle ear surgery), initial or revision; with ossicular chain reconstruction and synthetic prosthesis (eg, partial ossicular replacement prosthesis [PORP], total ossicular repl",0.23809523809523808,0.23809523809523808,1.0,"chain, ossicular, prosthesis, reconstruction, tympanoplasty","atticotomy, canalplasty, ear, including, initial, mastoidectomy, middle, partial, porp, repl, replacement, revision, surgery, synthetic, total, without"
1076963500,69635,TYMPANOPLASTY WITH MASTOIDOTOMY,"Tympanoplasty with antrotomy or mastoidotomy (including canalplasty, atticotomy, middle ear surgery, and/or tympanic membrane repair); without ossicular chain reconstruction",0.125,0.125,1.0,"mastoidotomy, tympanoplasty","antrotomy, atticotomy, canalplasty, chain, ear, including, membrane, middle, ossicular, reconstruction, repair, surgery, tympanic, without"
1076963600,69636,TYMPANOPLASTY WITH MASTOIDOTOMY AND OSSICULAR CHAIN RECONSTRUCTION,"Tympanoplasty with antrotomy or mastoidotomy (including canalplasty, atticotomy, middle ear surgery, and/or tympanic membrane repair); with ossicular chain reconstruction",0.3333333333333333,0.3333333333333333,1.0,"chain, mastoidotomy, ossicular, reconstruction, tympanoplasty","antrotomy, atticotomy, canalplasty, ear, including, membrane, middle, repair, surgery, tympanic"
1076963700,69637,TYMPANOPLASTY WITH MASTOIDOTOMY AND OSSICULAR CHAIN RECONSTRUCTION,"Tympanoplasty with antrotomy or mastoidotomy (including canalplasty, atticotomy, middle ear surgery, and/or tympanic membrane repair); with ossicular chain reconstruction and synthetic prosthesis (eg, partial ossicular replacement prosthesis [PORP], total",0.23809523809523808,0.23809523809523808,1.0,"chain, mastoidotomy, ossicular, reconstruction, tympanoplasty","antrotomy, atticotomy, canalplasty, ear, including, membrane, middle, partial, porp, prosthesis, repair, replacement, surgery, synthetic, total, tympanic"
1076964100,69641,TYMPANOPLASTY WITH MASTOIDOTOMY,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); without ossicular chain reconstruction",0.06666666666666667,0.13333333333333333,0.5,tympanoplasty,"canalplasty, chain, ear, including, mastoidectomy, mastoidotomy, membrane, middle, ossicular, reconstruction, repair, surgery, tympanic, without"
1076964200,69642,TYMPANOPLASTY WITH MASTOIDOTOMY AND OSSICULAR CHAIN RECONSTRUCTION,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); with ossicular chain reconstruction",0.2857142857142857,0.35714285714285715,0.7999999999999999,"chain, ossicular, reconstruction, tympanoplasty","canalplasty, ear, including, mastoidectomy, mastoidotomy, membrane, middle, repair, surgery, tympanic"
1076964300,69643,TYMPANOPLASTY WITH MASTOIDOTOMY AND RECONSTRUCTION OF POSTERIOR CANAL WALL,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); with intact or reconstructed wall, without ossicular chain reconstruction",0.15,0.3,0.5,"reconstruction, tympanoplasty, wall","canal, canalplasty, chain, ear, including, intact, mastoidectomy, mastoidotomy, membrane, middle, ossicular, posterior, reconstructed, repair, surgery, tympanic, without"
1076964400,69644,"TYMPANOPLASTY WITH MASTOIDOTOMY, RECONSTRUCTION OF POSTERIOR CANAL WALL, AND OSSICULAR CHAIN RECONSTRUCTION","Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); with intact or reconstructed canal wall, with ossicular chain reconstruction",0.3157894736842105,0.42105263157894735,0.75,"canal, chain, ossicular, reconstruction, tympanoplasty, wall","canalplasty, ear, including, intact, mastoidectomy, mastoidotomy, membrane, middle, posterior, reconstructed, repair, surgery, tympanic"
1076964500,69645,RADICAL TYMPANOPLASTY WITH MASTOIDOTOMY,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); radical or complete, without ossicular chain reconstruction",0.11764705882352941,0.17647058823529413,0.6666666666666666,"radical, tympanoplasty","canalplasty, chain, complete, ear, including, mastoidectomy, mastoidotomy, membrane, middle, ossicular, reconstruction, repair, surgery, tympanic, without"
1076964600,69646,RADICAL TYMPANOPLASTY WITH MASTOIDOTOMY AND OSSICULAR CHAIN RECONSTRUCTION,"Tympanoplasty with mastoidectomy (including canalplasty, middle ear surgery, tympanic membrane repair); radical or complete, with ossicular chain reconstruction",0.3125,0.375,0.8333333333333334,"chain, ossicular, radical, reconstruction, tympanoplasty","canalplasty, complete, ear, including, mastoidectomy, mastoidotomy, membrane, middle, repair, surgery, tympanic"
1076965000,69650,STAPES MOBILIZATION,Stapes mobilization,1.0,1.0,1.0,"mobilization, stapes",
1076966000,69660,STAPEDOTOMY WITH REESTABLISHMENT OF OSSICULAR CONTINUITY USING FOREIGN MATERIAL,"Stapedectomy or stapedotomy with reestablishment of ossicular continuity, with or without use of foreign material",0.6666666666666666,0.6666666666666666,1.0,"continuity, foreign, material, ossicular, reestablishment, stapedotomy","stapedectomy, use, without"
1076966100,69661,STAPEDOTOMY WITH REESTABLISHMENT OF OSSICULAR CONTINUITY AND DRILL-OUT OF FOOTPLATE,"Stapedectomy or stapedotomy with reestablishment of ossicular continuity, with or without use of foreign material; with footplate drill out",0.5833333333333334,0.5833333333333334,1.0,"continuity, drill, footplate, ossicular, out, reestablishment, stapedotomy","foreign, material, stapedectomy, use, without"
1076966200,69662,REVISION OF STAPEDOTOMY,Revision of stapedectomy or stapedotomy,0.6666666666666666,0.6666666666666666,1.0,"revision, stapedotomy",stapedectomy
1076966600,69666,REPAIR OF OVAL WINDOW FISTULA,Repair oval window fistula,1.0,1.0,1.0,"fistula, oval, repair, window",
1076966700,69667,REPAIR OF ROUND WINDOW FISTULA,Repair round window fistula,1.0,1.0,1.0,"fistula, repair, round, window",
1076967000,69670,MASTOID OBLITERATION,Mastoid obliteration (separate procedure),0.5,0.5,1.0,"mastoid, obliteration","procedure, separate"
1076967600,69676,TYMPANIC NEURECTOMY,Tympanic neurectomy,1.0,1.0,1.0,"neurectomy, tympanic",
1076970000,69700,CLOSURE OF POSTAURICULAR MASTOID FISTULA,"Closure postauricular fistula, mastoid (separate procedure)",0.6666666666666666,0.6666666666666666,1.0,"closure, fistula, mastoid, postauricular","procedure, separate"
