"ProcedureEpicId","Epic_name","concept_name","Code"
203780,ANAL/URIN MUSCLE STUDY NEEDLE,"Needle electromyography studies (EMG) of anal or urethral sphincter, any technique","51785"
1557,"EXCISION OF BONE CYST OR BENIGN TUMOR, WING OF ILIUM, SYMPHYSIS PUBIS, OR GREATER TROCHANTER OF FEMUR; SUPERFICIAL, INCLUDES AUTOGRAFT, WHEN PERFORMED","Excision of bone cyst or benign tumor, wing of ilium, symphysis pubis, or greater trochanter of femur; superficial, includes autograft, when performed","27065"
914,CLOSED TREATMENT OF STERNUM FRACTURE,Closed treatment of sternum fracture,"21820"
181962,"ELECTROCARDIOGRAM, SIGNAL-AVERAGED","Signal-averaged electrocardiography (SAECG), with or without ECG","93278"
169635,MR BRACHIAL PLEXUS LEFT W/WO CONTRAST,"Magnetic resonance (eg, proton) imaging, any joint of upper extremity; without contrast material(s), followed by contrast material(s) and further sequences","73223"
4328,"COLPOPEXY, ABDOMINAL APPROACH","Colpopexy, abdominal approach","57280"
167108,PR HIV RNA VIRAL LOAD NOT BELOW LIMITS OF QUANTIFICATION,HIV RNA viral load not below limits of quantification (HIV),"3503F"
168400,HELIOX GAS  ADMINISTRATION,"Pressurized or nonpressurized inhalation treatment for acute airway obstruction for therapeutic purposes and/or for diagnostic purposes such as sputum induction with an aerosol generator, nebulizer, metered dose inhaler or intermittent positive pressure b","94640"
158543,"CHILD, GROUP PSYCHOTHERAPY",Group psychotherapy (other than of a multiple-family group),"90853"
1123,"REMOVAL OF PROSTHESIS, INCLUDES DEBRIDEMENT AND SYNOVECTOMY WHEN PERFORMED; HUMERAL AND ULNAR COMPONENTS","Removal of prosthesis, includes debridement and synovectomy when performed; humeral and ulnar components","24160"
176730,X-RAY SURG SPECIMEN,"Radiological examination, surgical specimen","76098"
14680,IMPLANTATION OF BRAIN INTRACAVITARY CHEMOTHERAPY AGENT (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE),Implantation of brain intracavitary chemotherapy agent (List separately in addition to code for primary procedure),"61517"
150779,US DUPLEX EXTRACR LTD OR UNI (NEURO),Duplex scan of extracranial arteries; unilateral or limited study,"93882"
168837,US CYST ASPIRATION BREAST,"Ultrasound, breast(s) (unilateral or bilateral), real time with image documentation","76645"
165351,US VENOUS DUPLEX LOWER EXT UNI RIGHT,Duplex scan of extremity veins including responses to compression and other maneuvers; complete bilateral study,"93970"
62250,MICROALBUMIN-URINE RANDOM (POCT),"Albumin; urine (eg, microalbumin), quantitative","82043"
3280,"ESOPHAGOGASTRODUODENOSCOPY, FLEXIBLE, TRANSORAL; WITH TRANSMURAL DRAINAGE OF PSEUDOCYST (INCLUDES…ORMED, AND ENDOSCOPIC ULTRASOUND, WHEN PERFORMED)","Esophagogastroduodenoscopy, flexible, transoral; with transmural drainage of pseudocyst (includes placement of transmural drainage catheter[s]/stent[s], when performed, and endoscopic ultrasound, when performed)","43240"
6431,ASSAY PHOSPHOHEXOSE ENZYMES,Phosphohexose isomerase,"84087"
168907,OPEN TREATMENT OF DISTAL RADIAL INTRA-ARTICULAR FRACTURE OR EPIPHYSEAL SEPARATION; WITH INTERNAL FIXATION OF 3 OR MORE FRAGMENTS,Open treatment of distal radial intra-articular fracture or epiphyseal separation; with internal fixation of 3 or more fragments,"25609"
7459,FILTERED SPEECH HEARING TEST,Filtered speech test,"92571"
144316,CISTERNOGRAM FOR CSF LEAK 4HR,"Cisternography, positive contrast, radiological supervision and interpretation","70015"
62652,NEUROKININ A,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; quantitative, by radioimmunoassay (eg, RIA)","83519"
3002,DIAGNOSTIC BONE MARROW; ASPIRATION(S),Diagnostic bone marrow; aspiration(s),"38220"
6709,"RHEUMATOID FACTOR, QUANT",Rheumatoid factor; quantitative,"86431"
196,"ANESTH,KNEE VEINS SURGERY",Anesthesia for procedures on veins of knee and popliteal area; not otherwise specified,"01430"
62474,CORTICOSTERONE-SERUM,Corticosterone,"82528"
150768,US DOPPLER EXTREMITY LOWER VENOUS (VASCULAR LAB),Duplex scan of extremity veins including responses to compression and other maneuvers; complete bilateral study,"93970"
169868,"SPINAL PUNCTURE, THERAP, (BY N","Spinal puncture, therapeutic, for drainage of cerebrospinal fluid (by needle or catheter)","62272"
423462,"AMPHIPHYSIN IMMUNOBLOT, CSF","Protein; Western Blot, with interpretation and report, blood or other body fluid, immunological probe for band identification, each","84182"
1419,"REPAIR OF EXTENSOR TENDON, CENTRAL SLIP, SECONDARY (EG, BOUTONNIERE DEFORMITY); WITH FREE GRAFT (INCLUDES OBTAINING GRAFT), EACH FINGER","Repair of extensor tendon, central slip, secondary (eg, boutonniere deformity); with free graft (includes obtaining graft), each finger","26428"
4970,ANASTOMOSIS; FACIAL-HYPOGLOSSAL,Anastomosis; facial-hypoglossal,"64868"
174946,MRI STERNCLAVICLE WO CONTRAST RIGHT,"Magnetic resonance (eg, proton) imaging, any joint of upper extremity; without contrast material(s)","73221"
48168,ACELL GRAFT TRUNK/ARMS/LEGS EA 100SQCM,"Acellular dermal replacement, trunk, arms, legs; each additional 100 sq cm, or each additional 1% of body area of infants and children, or part thereof (List separately in addition to code for primary procedure)","15171"
63170,SHRIMP-F24,"Allergen specific IgE; quantitative or semiquantitative, crude allergen extract, each","86003"
1293,ARTHROPLASTY WITH PROSTHETIC REPLACEMENT; LUNATE,Arthroplasty with prosthetic replacement; lunate,"25444"
1618,"OPEN TREATMENT OF ACETABULAR FRACTURE(S) INVOLVING ANTERIOR AND POSTERIOR (TWO) COLUMNS, INCLUDES T-FRACTURE AND BOTH COLUMN ... ASSOCIATED ACETABULAR WALL FRACTURE, WITH INTERNAL FIXATION","Open treatment of acetabular fracture(s) involving anterior and posterior (two) columns, includes T-fracture and both column fracture with complete articular detachment, or single column or transverse fracture with associated acetabular wall fracture, wit","27228"
7811,ASSESSMENT OF APHASIA (96105),"Assessment of aphasia (includes assessment of expressive and receptive speech and language function, language comprehension, speech production ability, reading, spelling, writing, eg, by Boston Diagnostic Aphasia Examination) with interpretation and repor","96105"
3911,"URETEROCALYCOSTOMY, ANASTOMOSIS OF URETER TO RENAL CALYX","Ureterocalycostomy, anastomosis of ureter to renal calyx","50750"
171745,"2 TUNNELED CATH, 2 ACCESS SITE","Insertion of tunneled centrally inserted central venous access device, requiring 2 catheters via 2 separate venous access sites; without subcutaneous port or pump (eg, Tesio type catheter)","36565"
344359,REM MNTR WRLS P-ART PRS SNR,"Remote monitoring of a wireless pulmonary artery pressure sensor for up to 30 days, including at least weekly downloads of pulmonary artery pressure recordings, interpretation(s), trend analysis, and report(s) by a physician or other qualified health care","93264"
63590,RABBIT MEAT-F213,"Allergen specific IgE; quantitative or semiquantitative, crude allergen extract, each","86003"
164938,MRI ABDOMEN WITH 3D W CONTRAST,"3D rendering with interpretation and reporting of computed tomography, magnetic resonance imaging, ultrasound, or other tomographic modality with image postprocessing under concurrent supervision; not requiring image postprocessing on an independent works","76376"
170163,"TRANSCATHETER PLACEMENT OF INTRAVASCULAR STENT(S), INTRATHORACIC COMMON CAROTID ARTERY OR INNOMINATE ARTERY BY RETROGRADE TRE...N PERFORMED, AND RADIOLOGICAL SUPERVISION AND INTERPRETATION","Transcatheter placement of intravascular stent(s), intrathoracic common carotid artery or innominate artery by retrograde treatment, open ipsilateral cervical carotid artery exposure, including angioplasty, when performed, and radiological supervision and","37217"
8046,"PREVENTIVE VISIT,NEW,12-17","Initial comprehensive preventive medicine evaluation and management of an individual including an age and gender appropriate history, examination, counseling/anticipatory guidance/risk factor reduction interventions, and the ordering of laboratory/diagnos","99384"
3031,CERVICAL LYMPHADENECTOMY (MODIFIED RADICAL NECK DISSECTION),Cervical lymphadenectomy (modified radical neck dissection),"38724"
154167,DRUG PROFILE (TRANSPLANT),"Drug screen, qualitative; single drug class method (eg, immunoassay, enzyme assay), each drug class","80101"
168772,"APPLICATION OF FINGER SPLINT,",Application of finger splint; static,"29130"
3356,"GASTRECTOMY, PARTIAL, DISTAL; WITH ROUX-EN-Y RECONSTRUCTION","Gastrectomy, partial, distal; with Roux-en-Y reconstruction","43633"
578,"DESTRUCTION (EG, LASER SURGERY, ELECTROSURGERY, CRYOSURGERY, CHEMOSURGERY, SURGICAL CURETTEMENT),…ASCULAR PROLIFERATIVE LESIONS; 15 OR MORE LESIONS","Destruction (eg, laser surgery, electrosurgery, cryosurgery, chemosurgery, surgical curettement), of benign lesions other than skin tags or cutaneous vascular proliferative lesions; 15 or more lesions","17111"
171312,US FOOT UNILATERAL LEFT,"Unlisted ultrasound procedure (eg, diagnostic, interventional)","76999"
1386,"EXCISION OF TENDON, FINGER, FLEXOR OR EXTENSOR, EACH TENDON","Excision of tendon, finger, flexor or extensor, each tendon","26180"
62744,SOLUBLE IL-2RA,"Immunoassay for analyte other than infectious agent antibody or infectious agent antigen; quantitative, not otherwise specified","83520"
1201,"STUMP ELONGATION, UPPER EXTREMITY","Stump elongation, upper extremity","24935"
2754,"THROMBOENDARTERECTOMY, INCLUDING PATCH GRAFT, IF PERFORMED; COMBINED AORTOILIOFEMORAL","Thromboendarterectomy, including patch graft, if performed; combined aortoiliofemoral","35363"
167231,PR GERD SYMPTOMS ASSESSED AFTER 12 MO THERAPY,GERD symptoms assessed after 12 months of therapy (GERD),"1118F"
845,OPEN TREATMENT OF NASOMAXILLARY COMPLEX FRACTURE (LEFORT II TYPE); WITH WIRING AND/OR LOCAL FIXATION,Open treatment of nasomaxillary complex fracture (LeFort II type); with wiring and/or local fixation,"21346"
2142,"ARTHROSCOPY, WRIST, SURGICAL; EXCISION AND/OR REPAIR OF TRIANGULAR FIBROCARTILAGE AND/OR JOINT DEBRIDEMENT","Arthroscopy, wrist, surgical; excision and/or repair of triangular fibrocartilage and/or joint debridement","29846"
5962,CARDIOVASC NUCL EXAM UNLISTED,"Unlisted cardiovascular procedure, diagnostic nuclear medicine","78499"
65398,MRA FEMUR RIGHT W CONTRAST,"Magnetic resonance angiography, lower extremity, with or without contrast material(s)","73725"
3999,CLOSURE OF CYSTOSTOMY (SEPARATE PROCEDURE),Closure of cystostomy (separate procedure),"51880"
818,"PERIORBITAL OSTEOTOMIES FOR ORBITAL HYPERTELORISM, WITH BONE GRAFTS; EXTRACRANIAL APPROACH","Periorbital osteotomies for orbital hypertelorism, with bone grafts; extracranial approach","21260"
167397,"EXCISION, TUMOR, SOFT TISSUE OF FOOT OR TOE, SUBFASCIAL (EG, INTRAMUSCULAR); 1.5 CM OR GREATER","Excision, tumor, soft tissue of foot or toe, subfascial (eg, intramuscular); 1.5 cm or greater","28041"
1584,"ARTHROPLASTY, ACETABULAR AND PROXIMAL FEMORAL PROSTHETIC REPLACEMENT (TOTAL HIP ARTHROPLASTY), WITH OR WITHOUT AUTOGRAFT OR ALLOGRAFT","Arthroplasty, acetabular and proximal femoral prosthetic replacement (total hip arthroplasty), with or without autograft or allograft","27130"
5303,REVISION MASTOIDECTOMY; WITH APICECTOMY,Revision mastoidectomy; with apicectomy,"69605"
170097,"PLACEMENT OF BREAST LOCALIZATION DEVICE(S) (EG, CLIP, METALLIC PELLET, WIRE/NEEDLE, RADIOACTIVE S…RATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)","Placement of breast localization device(s) (eg, clip, metallic pellet, wire/needle, radioactive seeds), percutaneous; each additional lesion, including ultrasound guidance (List separately in addition to code for primary procedure)","19286"
6719,SACCHAROMONOSPORA VIRUS AB,Antibody; actinomyces,"86602"
7123,CHEMICAL HISTOCHEMISTRY,"Determinative histochemistry to identify chemical components (eg, copper, zinc)","88318"
2950,INSERTION OF THOMAS SHUNT (SEPARATE PROCEDURE),Insertion of Thomas shunt (separate procedure),"36835"
4338,"CLOSURE OF RECTOVAGINAL FISTULA; ABDOMINAL APPROACH, WITH CONCOMITANT COLOSTOMY","Closure of rectovaginal fistula; abdominal approach, with concomitant colostomy","57307"
114713,"FOC OFFICE VISIT,EST,LEVL IV","Office or other outpatient visit for the evaluation and management of an established patient, which requires at least 2 of these 3 key components: A detailed history; A detailed examination; Medical decision making of moderate complexity. Counseling and/o","99214"
2440,"DONOR PNEUMONECTOMY(S) (INCLUDING COLD PRESERVATION), FROM CADAVER DONOR","Donor pneumonectomy(s) (including cold preservation), from cadaver donor","32850"
62838,NICOTINE METABOLITE-URINE,Nicotine,"83887"
64934,"X-RAY CHEST PA,LAT","Radiologic examination, chest, 2 views, frontal and lateral; with oblique projections","71022"
4802,"LAMINECTOMY FOR EXCISION OR EVACUATION OF INTRASPINAL LESION OTHER THAN NEOPLASM, EXTRADURAL; SACRAL","Laminectomy for excision or evacuation of intraspinal lesion other than neoplasm, extradural; sacral","63268"
144808,US PELVIS TRANSVAGINAL (NON-OBSTETRICAL),"Ultrasound, transvaginal","76830"
63784,ENDOMYSIAL IGA AUTOABS,"Fluorescent noninfectious agent antibody; titer, each antibody","86256"
7968,"HOSPITAL DISCHARGE DAY,<30 MIN",Hospital discharge day management; 30 minutes or less,"99238"
343660,NEUROPSYCH TESTING BY PROFESSIONAL 1ST HOUR (96132),"Neuropsychological testing evaluation services by physician or other qualified health care professional, including integration of patient data, interpretation of standardized test results and clinical data, clinical decision making, treatment planning and","96132"
169233,CT ARTHROGRAM KNEE LEFT,Injection of contrast for knee arthrography,"27370"
62348,CARBON DIOXIDE (POCT),Carbon dioxide (bicarbonate),"82374"
7129,"PATH CONSULT IN SURG,W FRZ SEC","Pathology consultation during surgery; first tissue block, with frozen section(s), single specimen","88331"
1927,"OSTECTOMY, PARTIAL EXCISION, FIFTH METATARSAL HEAD (BUNIONETTE) (SEPARATE PROCEDURE)","Ostectomy, partial excision, fifth metatarsal head (bunionette) (separate procedure)","28110"
426,"REPAIR, INTERMEDIATE, WOUNDS OF FACE, EARS, EYELIDS, NOSE, LIPS AND/OR MUCOUS MEMBRANES; 2.5 CM OR LESS","Repair, intermediate, wounds of face, ears, eyelids, nose, lips and/or mucous membranes; 2.5 cm or less","12051"
4430,SALPINGOSTOMY (SALPINGONEOSTOMY),Salpingostomy (salpingoneostomy),"58770"
6053,ZARONTIN/ETHOSUXIMIDE,Ethosuximide,"80168"
63482,ELM,"Allergen specific IgE; quantitative or semiquantitative, crude allergen extract, each","86003"
168992,REMOVAL    NAILBED W/ AMP DIST,"Excision of nail and nail matrix, partial or complete (eg, ingrown or deformed nail), for permanent removal; with amputation of tuft of distal phalanx","11752"
2123,"ARTHROSCOPY, SHOULDER, SURGICAL; REPAIR OF SLAP LESION","Arthroscopy, shoulder, surgical; repair of SLAP lesion","29807"
5399,CT NECK W CONTRAST,"Computed tomography, soft tissue neck; with contrast material(s)","70491"
62102,TOBRAMYCIN TROUGH-BLD,Tobramycin,"80200"
1597,"BONE GRAFT, FEMORAL HEAD, NECK, INTERTROCHANTERIC OR SUBTROCHANTERIC AREA (INCLUDES OBTAINING BONE GRAFT)","Bone graft, femoral head, neck, intertrochanteric or subtrochanteric area (includes obtaining bone graft)","27170"
3889,"RENAL ENDOSCOPY THROUGH NEPHROTOMY OR PYELOTOMY, WITH OR WITHOUT IRRIGATION, INSTILLATION, OR URE…LGURATION AND/OR INCISION, WITH OR WITHOUT BIOPSY","Renal endoscopy through nephrotomy or pyelotomy, with or without irrigation, instillation, or ureteropyelography, exclusive of radiologic service; with fulguration and/or incision, with or without biopsy","50576"
169419,PLASMAPHERESIS,Therapeutic apheresis; for plasma pheresis,"36514"
64220,TOXOPLASMA DNA DETECT,"Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; amplified probe technique, each organism","87798"
63370,OAT,"Allergen specific IgE; quantitative or semiquantitative, crude allergen extract, each","86003"
7655,ARTERIAL IN-OUTFLOW PENILE VESSEL,Duplex scan of arterial inflow and venous outflow of penile vessels; complete study,"93980"
4957,SUTURE OF 1 NERVE; MEDIAN MOTOR THENAR,Suture of 1 nerve; median motor thenar,"64835"
915,OPEN TREATMENT OF STERNUM FRACTURE WITH OR WITHOUT SKELETAL FIXATION,Open treatment of sternum fracture with or without skeletal fixation,"21825"
173585,REPLACE COMPLETE NONTUNNELED C,"Replacement, complete, of a non-tunneled centrally inserted central venous catheter, without subcutaneous port or pump, through same venous access","36580"
3791,"REPAIR INITIAL INGUINAL HERNIA, AGE 5 YEARS OR OLDER; REDUCIBLE","Repair initial inguinal hernia, age 5 years or older; reducible","49505"
3288,"ESOPHAGOGASTRODUODENOSCOPY, FLEXIBLE, TRANSORAL; WITH INSERTION OF GUIDE WIRE FOLLOWED BY PASSAGE OF DILATOR(S) THROUGH ESOPHAGUS OVER GUIDE WIRE","Esophagogastroduodenoscopy, flexible, transoral; with insertion of guide wire followed by passage of dilator(s) through esophagus over guide wire","43248"
2588,BANDING OF PULMONARY ARTERY,Banding of pulmonary artery,"33690"
164152,PR ANTIDEPRESSANT PHARMACOTHERAPY PRESCRIBED,"Antidepressant pharmacotherapy prescribed (MDD, MDD ADOL)","4064F"
63454,GREEN BEAN (STRING),"Allergen specific IgE; quantitative or semiquantitative, crude allergen extract, each","86003"
7051,"LTD AUTOPSY,SINGLE ORGAN","Necropsy (autopsy), limited, gross and/or microscopic; single organ","88037"
174283,CT HIP W AND WO CONTRAST LEFT,"Computed tomography, lower extremity; without contrast material, followed by contrast material(s) and further sections","73702"
6280,HYDROCHLORIC ACID,"Gastric acid, free and total, each specimen","82926"
418860,DILATED FUNDUS EVALUATION PERFORMED WITHIN 12 MONTHS PRIOR TO CATARACT SURGERY (EC),Dilated fundus evaluation performed within 12 months prior to cataract surgery (EC),"2020F"
14774,"THER SRVC,NON-SPEECH GEN DEV USE, W/PROG","Therapeutic services for the use of speech-generating device, including programming and modification","92609"
157608,"EBV QUANT PCR, CSF","Infectious agent detection by nucleic acid (DNA or RNA), not otherwise specified; quantification, each organism","87799"
172974,ULTRASOUND GUIDANCE NEED (OFFICE PROCEDURE),"Ultrasonic guidance for needle placement (eg, biopsy, aspiration, injection, localization device), imaging supervision and interpretation","76942"
169797,MR LOWER EXTREMITY NON-JOINT LEFT W/WO CONTRAST,"Magnetic resonance (eg, proton) imaging, lower extremity other than joint; without contrast material(s), followed by contrast material(s) and further sequences","73720"
5881,PARATHYROID IMAGING,"Parathyroid planar imaging (including subtraction, when performed)","78070"
177493,INTERROG AORTIC VENTR SYS,"Interrogation device evaluation (in person) with analysis, review and report, includes connection, recording and disconnection per patient encounter, implantable aortic counterpulsation ventricular assist system, per day","0463T"
173561,REPAIR DOUBLE TUNNEL CATH,"Repair of tunneled or non-tunneled central venous access catheter, without subcutaneous port or pump, central or peripheral insertion site","36575"
63514,PORK-F26,"Allergen specific IgE; quantitative or semiquantitative, crude allergen extract, each","86003"
159783,RI AUTOANTIBODY,"Protein; Western Blot, with interpretation and report, blood or other body fluid","84181"
177132,FALLOPIAN DILATATION RIGHT,"Transcervical introduction of fallopian tube catheter for diagnosis and/or re-establishing patency (any method), with or without hysterosalpingography","58345"
2212,REPAIR CHOANAL ATRESIA; TRANSPALATINE,Repair choanal atresia; transpalatine,"30545"
177079,"TRANSLUMINAL BALLOON ANGIOPLASTY (EXCEPT DIALYSIS CIRCUIT), OPEN OR PERCUTANEOUS, INCLUDING ALL IMAGING AND RADIOLOGICAL SUPE... (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE)","Transluminal balloon angioplasty (except dialysis circuit), open or percutaneous, including all imaging and radiological supervision and interpretation necessary to perform the angioplasty within the same vein; each additional vein (List separately in add","37249"
234,"ANESTH,ARM/ELBOW BONES,CLOSED PROC",Anesthesia for all closed procedures on humerus and elbow,"01730"
5810,RADN THERAPY PLANNING UNLISTED,"Unlisted procedure, therapeutic radiology clinical treatment planning","77299"
