sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:CPT_CODE,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
1073854200,DISSECTION OF DEEP JUGULAR LYMPH NODE,216,,38542,1.00,APPROVED,EQUAL,Sharon Nirenberg,1627308130167,2108471,"Dissection, deep jugular node(s)",Procedure,MAPS_TO,,<auto>,1627307677573,
1072283000,EXPLORATION OF SPINAL FUSION,426,,22830,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627401800935,2103540,Exploration of spinal fusion,Procedure,MAPS_TO,,<auto>,1627307677960,
1071177200,COMPLICATED EXCISION OF PILONIDAL SINUS,356,,11772,1.00,APPROVED,EQUAL,Sharon Nirenberg,1627308150739,2102099,Excision of pilonidal cyst or sinus; complicated,Procedure,MAPS_TO,,<auto>,1627307678818,
21,LUMBAR OR SCARAL (CAUDAL) EPIDURAL STEROID INJECTION,810,,,0.66,APPROVED,INEXACT,Sharon Nirenberg,1627308213273,4081702,Lumbar epidural steroid injection,Procedure,MAPS_TO,,<auto>,1627307679254,
21,LUMBAR OR SCARAL (CAUDAL) EPIDURAL STEROID INJECTION,810,,,0.66,APPROVED,INEXACT,Sharon Nirenberg,1627308213273,4081703,Sacral epidural steroid injection,Procedure,MAPS_TO,,Sharon Nirenberg,1627308192842,
1074233500,SUBMANDIBULAR SIALOLITHOTOMY BY INTRAORAL APPROACH,239,,42335,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308274437,2108760,"Sialolithotomy; submandibular (submaxillary), complicated, intraoral",Procedure,MAPS_TO,,Sharon Nirenberg,1627308273138,
1073690100,"INTRO.OF NEEDLE/CATH.DIALYSIS CIRCUIT,W/DX.ANGIOGRAPHY W/ALL NECESSARY IMAGING",548,,36901,0.32,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308305494,42628575,"Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis ",Procedure,MAPS_TO,,Sharon Nirenberg,1627308301242,
1073164100,RIGID BRONCHOSCOPY WITH RELIEF OF STENOSIS USING FLUOROSCOPIC GUIDANCE,340,,31641,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308322103,2106609,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with destruction of tumor or relief of stenosis by any method other than excision (eg, laser therapy, cryotherapy)",Procedure,MAPS_TO,,<auto>,1627307680465,
1072744600,ARTHROPLASTY OF MEDIAL FEMORAL CONDYLE AND TIBIAL PLATEAU,320,,27446,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308328609,2105102,"Arthroplasty, knee, condyle and plateau; medial OR lateral compartment",Procedure,MAPS_TO,,<auto>,1627307680644,
1073872400,EXCISION OF CERVICAL LYMPH NODE WITH MODIFIED RADICAL DISSECTION OF NECK,1262,,38724,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308330933,2108482,Cervical lymphadenectomy (modified radical neck dissection),Procedure,MAPS_TO,,<auto>,1627307681294,
1074956800,IMPLANTATION OF PROSTHESIS FOR REPAIR OF OPEN VENTRAL HERNIA,671,,49568,1.00,APPROVED,EQUIVALENT,Sharon Nirenberg,1627308333205,2109503,Implantation of mesh or other prosthesis for open incisional or ventral hernia repair or mesh for closure of debridement for necrotizing soft tissue infection (List separately in addition to code for the incisional or ventral hernia repair),Procedure,MAPS_TO,,<auto>,1627307681364,
