Type,sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,codeSet,code,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn
non-surgical,6354,LDH-BLD,588183,,CPT(R),83615,0.21,APPROVED,EQUAL,Sharon Nirenberg,1.62335E+12,2212428,"Lactate dehydrogenase (LD), (LDH)",Measurement,MAPS_TO,,<auto>,1.62334E+12
non-surgical,6624,PROTHROMBIN TIME/INR,2603912,,CPT(R),85610,0.64,APPROVED,EQUAL,Sharon Nirenberg,1.62335E+12,2212731,Prothrombin time,Measurement,MAPS_TO,,<auto>,1.62334E+12
non-surgical,64924,X-RAY CHEST PA AND LATERAL ONLY,1221013,,CPT(R),71020.02,0.43,APPROVED,EQUAL,Sharon Nirenberg,1.62335E+12,725069,"Radiologic examination, chest; 2 views",Procedure,MAPS_TO,,Sharon Nirenberg,1.62335E+12
non-surgical,7069,"CYTOLOGY, GYN",340380,,Custom,100531,0.43,APPROVED,INEXACT,Sharon Nirenberg,1.62378E+12,2213220,"Cytopathology, cervical or vaginal (any reporting system), requiring interpretation by physician",Measurement,MAPS_TO,,Sharon Nirenberg,1.62378E+12
non-surgical,6220,CK (CPK),552420,,CPT(R),82550,0.58,APPROVED,EQUAL,Sharon Nirenberg,1.62335E+12,2212290,"Creatine kinase (CK), (CPK); total",Measurement,MAPS_TO,,<auto>,1.62334E+12
non-surgical,6261,FERRITIN,450026,,CPT(R),82728,1,APPROVED,EQUAL,Sharon Nirenberg,1.62335E+12,2212333,Ferritin,Measurement,MAPS_TO,,<auto>,1.62334E+12
non-surgical,6509,TROPONIN I,1619423,,CPT(R),84484,0.58,APPROVED,EQUAL,Sharon Nirenberg,1.62335E+12,2212605,"Troponin, quantitative",Measurement,MAPS_TO,,<auto>,1.62334E+12
non-surgical,6104,"URINALYSIS, ROUTINE",1844096,,CPT(R),81003,0.57,APPROVED,EQUAL,Sharon Nirenberg,1.62371E+12,2212168,"Urinalysis, by dip stick or tablet reagent for bilirubin, glucose, hemoglobin, ketones, leukocytes, nitrite, pH, protein, specific gravity, urobilinogen, any number of these constituents; automated, without microscopy",Measurement,MAPS_TO,,Sharon Nirenberg,1.62371E+12
non-surgical,160165,NOTIFY PHYSICIAN,1694662,,Custom,NUR183,0.46,APPROVED,EQUAL,Sharon Nirenberg,1.62377E+12,4180869,Notification of physician,Observation,MAPS_TO,,Sharon Nirenberg,1.62377E+12
non-surgical,117280,LIVER TRANSP MONIT,700963,,CPT(R),100427,0.41,APPROVED,UNMATCHED,Sharon Nirenberg,1.6243E+12,0,Unmapped,,MAPS_TO,,,0
non-surgical,158507,ADMIT TO INPATIENT,891873,,Custom,ADT1,0.47,APPROVED,EQUIVALENT,Sharon Nirenberg,1.6243E+12,8715,Hospital admission,Observation,MAPS_TO,,Sharon Nirenberg,1.6243E+12
non-surgical,64302,PT/INR AND APTT,1385752,,CPT(R),85730.02,0.32,APPROVED,EQUAL,Sharon Nirenberg,1.62336E+12,2212742,"Thromboplastin time, partial (PTT); plasma or whole blood",Measurement,MAPS_TO,,Sharon Nirenberg,1.62336E+12
non-surgical,173804,FOLEY CATHETER - CONTINUE,375762,,Custom,NUR920,0.45,APPROVED,UNMATCHED,Sharon Nirenberg,1.62379E+12,0,Unmapped,,MAPS_TO,,,0
non-surgical,160146,ACTIVITY AS TOLERATED,1302900,,Custom,NUR129,0.53,APPROVED,UNMATCHED,Sharon Nirenberg,1.6243E+12,0,Unmapped,,MAPS_TO,,,0
non-surgical,64302,PT/INR AND APTT,1805425,,CPT(R),85730.02,0.32,APPROVED,EQUAL,Sharon Nirenberg,1.62336E+12,2212742,"Thromboplastin time, partial (PTT); plasma or whole blood",Measurement,MAPS_TO,,Sharon Nirenberg,1.62336E+12
non-surgical,159879,TRANSTHORACIC ECHOCARDIOGRAM (TTE),484112,,CPT(R),93306,0.54,APPROVED,EQUAL,Sharon Nirenberg,1.62376E+12,2313869,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",Procedure,MAPS_TO,,Sharon Nirenberg,1.62376E+12
non-surgical,64914,X-RAY CHEST 1 VIEW PORTABLE,1605023,,CPT(R),71010.06,0.72,APPROVED,EQUAL,Sharon Nirenberg,1.62346E+12,725068,"Radiologic examination, chest; single view",Procedure,MAPS_TO,,Sharon Nirenberg,1.62346E+12
non-surgical,6432,PHOSPHORUS-BLOOD,1341216,,CPT(R),84100,0.33,APPROVED,EQUAL,Sharon Nirenberg,1.62337E+12,2212523,Phosphorus inorganic (phosphate),Measurement,MAPS_TO,,Sharon Nirenberg,1.62337E+12
non-surgical,117240,HEMOGLOBIN A1C,1619445,,CPT(R),100398,0.85,APPROVED,EQUAL,Sharon Nirenberg,1.62337E+12,2212393,Hemoglobin; glycosylated (A1C) by device cleared by FDA for home use,Measurement,MAPS_TO,,<auto>,1.62334E+12
non-surgical,6230,VITAMIN B12-SERUM,441721,,CPT(R),82607,0.32,APPROVED,EQUAL,Sharon Nirenberg,1.62337E+12,2212300,Cyanocobalamin (Vitamin B-12),Measurement,MAPS_TO,,Sharon Nirenberg,1.62337E+12
non-surgical,64306,BLOOD GAS/ELEC PROF-ART (POCT),1215853,,Custom,100015,0.29,APPROVED,EQUIVALENT,Sharon Nirenberg,1.6243E+12,2212349,"Gases, blood, any combination of pH, pCO2, pO2, CO2, HCO3 (including calculated O2 saturation); with O2 saturation, by direct measurement, except pulse oximetry",Measurement,MAPS_TO,,Sharon Nirenberg,1.6243E+12
non-surgical,119049,TYPE AND SCREEN,2590741,,Custom,100516,0.36,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62379E+12,2212949,"Blood typing, serologic; RBC antigens, other than ABO or Rh (D), each",Procedure,MAPS_TO,,Sharon Nirenberg,1.62343E+12
non-surgical,119049,TYPE AND SCREEN,2590741,,Custom,100516,0.36,APPROVED,EQUIVALENT,Sharon Nirenberg,1.62379E+12,2212946,"Blood typing, serologic; Rh (D)",Procedure,MAPS_TO,,Sharon Nirenberg,1.62343E+12
non-surgical,6365,LIPASE,887360,,CPT(R),83690,1,APPROVED,EQUAL,Sharon Nirenberg,1.62343E+12,2212441,Lipase,Measurement,MAPS_TO,,<auto>,1.62334E+12
non-surgical,114290,TSH,1659441,,CPT(R),100314,0.35,APPROVED,EQUAL,Sharon Nirenberg,1.62343E+12,2212593,Thyroid stimulating hormone (TSH),Measurement,MAPS_TO,,<auto>,1.62334E+12
non-surgical,64924,X-RAY CHEST PA AND LATERAL ONLY,684193,,CPT(R),71020.02,0.43,APPROVED,EQUAL,Sharon Nirenberg,1.62343E+12,725069,"Radiologic examination, chest; 2 views",Procedure,MAPS_TO,,Sharon Nirenberg,1.62343E+12
non-surgical,6629,SED RATE (ESR),583840,,CPT(R),85651,0.37,APPROVED,EQUAL,Sharon Nirenberg,1.62343E+12,2212737,"Sedimentation rate, erythrocyte; automated",Measurement,MAPS_TO,,Sharon Nirenberg,1.62343E+12
