Type,sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,codeSet,code,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn
non-surgical,1074958500,REPAIR OF REDUCIBLE UMBILICAL HERNIA,771,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2109508,"Repair umbilical hernia, age 5 years or older; reducible",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1072980600,"ARTHROSCOPY, SHOULDER, SURGICAL; CAPSULORRHAPHY",593,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2105939,"Arthroscopy, shoulder, surgical; capsulorrhaphy",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071932500,BREAST AUGMENTATION WITH IMPLANT,551,,,,0.78,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2102740,"Mammaplasty, augmentation; with prosthetic implant",Procedure,MAPS_TO,,Sharon Nirenberg,1.62499E+12
non-surgical,1073013000,PARTIAL EXCISION OF INFERIOR TURBINATE,868,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2106156,"Excision inferior turbinate, partial or complete, any method",Procedure,MAPS_TO,,Sharon Nirenberg,1.625E+12
non-surgical,1075856100,SURGICAL HYSTEROSCOPY WITH REMOVAL OF LEIOMYOMA,1311,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2110225,"Hysteroscopy, surgical; with removal of leiomyomata",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1076178200,STEREOTACTIC COMPUTER-ASSISTED CRANIAL EXTRADURAL PROCEDURE,1982,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,40757148,"Stereotactic computer-assisted (navigational) procedure; cranial, extradural (List separately in addition to code for primary procedure)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073857100,SURGICAL LAPAROSCOPY WITH BILATERAL EXCISION OF ALL PELVIC LYMPH NODES,2618,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62507E+12,2108477,"Laparoscopy, surgical; with bilateral total pelvic lymphadenectomy",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071935700,"TISSUE EXPANDER PLACEMENT IN BREAST RECONSTRUCTION, INCLUDING SUBSEQUENT EXPANSION(S)",927,,,,0.69,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2102757,"Breast reconstruction, immediate or delayed, with tissue expander, including subsequent expansion",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1074420500,"SURGICAL LAPAROSCOPY WITH PARTIAL COLECTOMY, REMOVAL OF TERMINAL ILEUM, AND ILEOCOLOSTOMY",688,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2109066,"Laparoscopy, surgical; colectomy, partial, with removal of terminal ileum with ileocolostomy",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071937100,"PERI-IMPLANT CAPSULECTOMY, BREAST, COMPLETE, INCLUDING REMOVAL OF ALL INTRACAPSULAR CONTENTS",1045,,,,0.42,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2102775,"Periprosthetic capsulectomy, breast",Procedure,MAPS_TO,,Sharon Nirenberg,1.6251E+12
non-surgical,1075008000,PERCUTANEOUS PYELOSTOLITHOTOMY WITH STENTING,771,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2109557,"Percutaneous nephrostolithotomy or pyelostolithotomy, with or without dilation, endoscopy, lithotripsy, stenting, or basket extraction; up to 2 cm",Procedure,MAPS_TO,,Sharon Nirenberg,1.6251E+12
non-surgical,1071104200,"DEBRIDEMENT OF SUBCUTANEOUS TISSUE, INCLUDING EPIDERMIS AND DERMIS, FIRST 20 SQUARE CMS OR LESS",1253,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2101925,"Debridement, subcutaneous tissue (includes epidermis and dermis, if performed); first 20 sq cm or less",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073682100,OPEN DIRECT ARTERIOVENOUS ANASTOMOSIS,1309,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2108292,"Arteriovenous anastomosis, open; direct, any site (eg, Cimino type) (separate procedure)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073722500,UNILATERAL PERCUTANEOUS ENDOVASCULAR REVASCULARIZATION OF POPLITEAL ARTERY WITH ATHERECTOMY AND ANGIOPLASTY,678,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,40756872,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with atherectomy, includes angioplasty within the same vessel, when performed",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073162800,"BRONCHOSCOPY, RIGID OR FLEXIBLE, INCLUDING FLUOROSCOPIC GUIDANCE, WHEN PERFORMED; WITH TRANSBRONCHIAL LUNG BIOPSY(S), SINGLE LOBE",754,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2106588,"Bronchoscopy, rigid or flexible, including fluoroscopic guidance, when performed; with transbronchial lung biopsy(s), single lobe",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073722400,UNILATERAL PERCUTANEOUS ENDOVASCULAR REVASCULARIZATION OF POPLITEAL ARTERY WITH TRANSLUMINAL ANGIOPLASTY,1469,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,40756934,"Revascularization, endovascular, open or percutaneous, femoral, popliteal artery(s), unilateral; with transluminal angioplasty",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073350800,SURGICAL ENDOSCOPY WITH HARVEST OF VEIN FOR CORONARY ARTERY BYPASS PROCEDURE USING VIDEO GUIDANCE,1422,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.62509E+12,2107214,"Endoscopy, surgical, including video-assisted harvest of vein(s) for coronary artery bypass procedure (List separately in addition to code for primary procedure)",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1071934000,"INSERTION OF BREAST IMPLANT ON SAME DAY OF MASTECTOMY (IE, IMMEDIATE)",588,,,,0.45,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2102753,"Immediate insertion of breast prosthesis following mastopexy, mastectomy or in reconstruction",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1074324200,"UPPER GASTROINTESTINAL ENDOSCOPY OF ESOPHAGUS, STOMACH, DUODENUM AND JEJUNUM WITH ENDOSCOPIC ULTRASOUND GUIDED INTRAMURAL FINE NEEDLE BIOPSY",1296,,,,1,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,2108890,"Esophagogastroduodenoscopy, flexible, transoral; with transendoscopic ultrasound-guided intramural or transmural fine needle aspiration/biopsy(s) (includes endoscopic ultrasound examination of the esophagus, stomach, and either the duodenum or a surgicall",Procedure,MAPS_TO,,<auto>,1.62499E+12
non-surgical,1073690100,"INTRO.OF NEEDLE/CATH.DIALYSIS CIRCUIT,W/DX.ANGIOGRAPHY W/ALL NECESSARY IMAGING",548,,,,0.31,APPROVED,EQUAL,Sharon Nirenberg,1.6251E+12,42628575,"Introduction of needle(s) and/or catheter(s), dialysis circuit, with diagnostic angiography of the dialysis circuit, including all direct puncture(s) and catheter placement(s), injection(s) of contrast, all necessary imaging from the arterial anastomosis ",Procedure,MAPS_TO,,Sharon Nirenberg,1.6251E+12
